name,latitude,longitude,zipcode,city,state,price,rating,review_count,category_x,Accept_Credit_Card,Alcohol,Outdoor_Seating,Parking,Take_out,Takes_Reservations,WIFI,Ambience,Attire,Noise_Level,atm,bank,bar,beauty_salon,bus_station,cafe,gym,school,White_population,Black_population,American_Indian_population,Asian_population,Hispanic_or_Latino_population,High_school_or_higher,Graduate_or_professional_degree,Unemployed,average_price,review_count_binned
Keo Ku Restaurant,40.8584723,-74.3569085,7054,Parsippany,NJ,$$,3.5,114,korean&bars&bbq,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.498131963,0.030755888,0.001701248,0.335846287,0.086897058,0.931,0.221,0.046,20,Small No Reviews
Marakesh Restaurant,40.85873211,-74.35871399,7054,Parsippany,NJ,$$,4,186,moroccan&mideastern&mediterranean,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.498131963,0.030755888,0.001701248,0.335846287,0.086897058,0.931,0.221,0.046,20,Medium No Reviews
Starlight Restaurant,40.70340677,-74.18592258,7114,Newark,NJ,$,2.5,17,newamerican,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,3,6,1,19,18,10,7,10,0.134322954,0.546125996,0.002679218,0.004996379,0.343301955,0.68,0.018,0.135,10,Small No Reviews
Que Pasta Italian Restaurant,40.89617,-74.0938,7663,Saddle Brook,NJ,$$,3.5,152,italian&bars&venues,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.734696756,0.018899859,0.000564175,0.077715092,0.117489422,0.884,0.106,0.039,20,Medium No Reviews
Midland Brew House,40.91002827,-74.10727951,7663,Saddle Brook,NJ,$$,3,323,sportsbars&lounges&newamerican,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.734696756,0.018899859,0.000564175,0.077715092,0.117489422,0.884,0.106,0.039,20,Meadium to Large Reviews
The Godfather of East Hanover,40.8096841,-74.37489264,7936,East Hanover,NJ,$$,3.5,166,pizza&seafood&italian,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.793645221,0.007899587,0.000351093,0.116036163,0.052663916,0.922,0.158,0.059,20,Medium No Reviews
The Shepherd & the Knucklehead of Haledon& NJ,40.9412109,-74.1854647,7508,Haledon,NJ,$$,4,279,pubs&gastropubs&steak,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.525539849,0.08490157,0.000997312,0.043318012,0.309730292,0.899,0.089,0.084,20,Medium No Reviews
Bareli's Restaurant & Bar,40.7912822,-74.0548778,7094,Secaucus,NJ,$$$,4.5,114,italian&bars&newamerican,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.478347803,0.030255196,0.001210208,0.172007366,0.15916864,0.89,0.191,0.039,45,Small No Reviews
202 Italian Bistro,40.9232574,-74.30633068,7035,Lincoln Park,NJ,$$,4,83,italian,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.774883466,0.015263687,0.00137099,0.070834476,0.092678914,0.929,0.141,0.03,20,Small No Reviews
Bottagra,40.9394139,-74.1620468,7506,Hawthorne,NJ,$$$,4,152,italian,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.769574944,0.018469382,0.000884449,0.027261849,0.150720566,0.922,0.122,0.051,45,Medium No Reviews
Boxcar Bar & Grill,40.7251104,-74.3238555,7078,Short Hills,NJ,$$,3.5,80,tradamerican&bars,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.813190208,0.009962159,0,0.156073828,0.024635107,1.018,0.575,0.025,20,Small No Reviews
Juicy Halal Mediterranean,40.87649,-74.06577,7601,Hackensack,NJ,$,4,185,halal&mediterranean,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.286041954,0.215850889,0.001492006,0.097358928,0.338173073,0.882,0.116,0.038,10,Medium No Reviews
Olive Garden Italian Restaurant,40.79079,-74.05223,7094,Secaucus,NJ,$$,3,201,italian&salad,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.478347803,0.030255196,0.001210208,0.172007366,0.15916864,0.89,0.191,0.039,20,Medium No Reviews
Cuba Mia,40.86059,-74.37285,7054,Parsippany,NJ,$$,3.5,128,cuban&lounges&latin,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.498131963,0.030755888,0.001701248,0.335846287,0.086897058,0.931,0.221,0.046,20,Small No Reviews
Segovia Restaurant,40.84000853,-74.04859962,7074,Moonachie,NJ,$$,4,322,spanish&seafood&tapas,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.611091234,0.00822898,0,0.095527728,0.236135957,0.813,0.062,0.049,20,Meadium to Large Reviews
Happy Clam Oasis,40.6927142,-74.1863173,7132,Newark,NJ,$$,2,78,airportlounges,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,1,19,18,10,7,10,0.479330335,0.037569691,0.001647238,0.094145971,0.123859605,0.941,0.224,0.048,20,Small No Reviews
Bazzarelli Restaurant,40.840596,-74.047965,7074,Moonachie,NJ,$$,3.5,105,italian,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.611091234,0.00822898,0,0.095527728,0.236135957,0.813,0.062,0.049,20,Small No Reviews
Mamajuana Cafe Paterson,40.93669792,-74.14214906,7514,Paterson,NJ,$$,3,159,spanish&wine_bars&latin,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,12,19,18,10,7,10,0.056478887,0.415933907,0.001449415,0.002850517,0.392356749,0.769,0.018,0.094,20,Medium No Reviews
Aviation Cafe,40.69248496,-74.18181279,7114,Newark,NJ,$$,4,31,newamerican&lounges,1,Full Bar,1,Street,1,1,0,Casual,Casual,2,14,6,3,19,3,4,7,10,0.134322954,0.546125996,0.002679218,0.004996379,0.343301955,0.68,0.018,0.135,20,Small No Reviews
